country,year,gdp
Australia,1960,18606786874
Austria,1960,6592693841
Canada,1960,40461721693
China,1960,59716467625
United Kingdom,1960,73233967692
United States,1960,5.43E+11
Australia,1961,19683055213
Austria,1961,7311749633
Canada,1961,40934952064
China,1961,50056868958
United Kingdom,1961,77741965703
United States,1961,5.63E+11
Australia,1962,19922723709
Austria,1962,7756110210
Canada,1962,42227447632
China,1962,47209359006
United Kingdom,1962,81247564157
United States,1962,6.05E+11
Australia,1963,21539926084
Austria,1963,8374175258
Canada,1963,45029988561
China,1963,50706799903
United Kingdom,1963,86561961812
United States,1963,6.39E+11
Australia,1964,23801097547
Austria,1964,9169983886
Canada,1964,49377522897
China,1964,59708343489
United Kingdom,1964,94407558351
United States,1964,6.86E+11
Australia,1965,25977153097
Austria,1965,9994070616
Canada,1965,54515179581
China,1965,70436266147
United Kingdom,1965,1.02E+11
United States,1965,7.44E+11
Australia,1966,27309889125
Austria,1966,10887682273
Canada,1966,61088384037
China,1966,76720285970
United Kingdom,1966,1.09E+11
United States,1966,8.15E+11
Australia,1967,30444618658
Austria,1967,11579431669
Canada,1967,65668655501
China,1967,72881631327
United Kingdom,1967,1.13E+11
United States,1967,8.62E+11
Australia,1968,32716989584
Austria,1968,12440625313
Canada,1968,71829810520
China,1968,70846535056
United Kingdom,1968,1.08E+11
United States,1968,9.43E+11
Australia,1969,36686079068
Austria,1969,13582798556
Canada,1969,79148411662
China,1969,79705906247
United Kingdom,1969,1.16E+11
United States,1969,1.02E+12
Australia,1970,41337215814
Austria,1970,15373005557
Canada,1970,87896095320
China,1970,92602973434
United Kingdom,1970,1.31E+11
United States,1970,1.07E+12
Australia,1971,45222309329
Austria,1971,17858486067
Canada,1971,99271961775
China,1971,99800958648
United Kingdom,1971,1.48E+11
United States,1971,1.16E+12
Australia,1972,52051401869
Austria,1972,22059612477
Canada,1972,1.13E+11
China,1972,1.14E+11
United Kingdom,1972,1.7E+11
United States,1972,1.28E+12
Australia,1973,63844971172
Austria,1973,29515467707
Canada,1973,1.31E+11
China,1973,1.39E+11
United Kingdom,1973,1.93E+11
United States,1973,1.43E+12
Australia,1974,88981577008
Austria,1974,35189299912
Canada,1974,1.6E+11
China,1974,1.44E+11
United Kingdom,1974,2.06E+11
United States,1974,1.55E+12
Australia,1975,97333060221
Austria,1975,40059206763
Canada,1975,1.74E+11
China,1975,1.63E+11
United Kingdom,1975,2.42E+11
United States,1975,1.68E+12
Australia,1976,1.05E+11
Austria,1976,42959976222
Canada,1976,2.07E+11
China,1976,1.54E+11
United Kingdom,1976,2.33E+11
United States,1976,1.87E+12
Australia,1977,1.1E+11
Austria,1977,51545758888
Canada,1977,2.12E+11
China,1977,1.75E+11
United Kingdom,1977,2.63E+11
United States,1977,2.08E+12
Australia,1978,1.19E+11
Austria,1978,62052259073
Canada,1978,2.19E+11
China,1978,1.5E+11
United Kingdom,1978,3.36E+11
United States,1978,2.35E+12
Australia,1979,1.35E+11
Austria,1979,73937296963
Canada,1979,2.43E+11
China,1979,1.78E+11
United Kingdom,1979,4.39E+11
United States,1979,2.63E+12
Australia,1980,1.5E+11
Austria,1980,82058912997
