Date, Open, High, Low, Close
02/13/24, 1.0772, 1.0804, 1.0700, 1.0709
02/12/24, 1.0781, 1.0808, 1.0756, 1.0773
02/09/24, 1.0779, 1.0796, 1.0761, 1.0783
02/08/24, 1.0773, 1.0791, 1.0741, 1.0778
02/07/24, 1.0756, 1.0787, 1.0752, 1.0774
02/06/24, 1.0742, 1.0763, 1.0723, 1.0755
02/05/24, 1.0809, 1.0809, 1.0723, 1.0743
02/02/24, 1.0874, 1.0899, 1.0780, 1.0788
02/01/24, 1.0814, 1.0877, 1.0779, 1.0872
01/31/24, 1.0843, 1.0889, 1.0796, 1.0819
01/30/24, 1.0836, 1.0858, 1.0812, 1.0845
01/29/24, 1.0865, 1.0865, 1.0796, 1.0834
01/26/24, 1.0846, 1.0885, 1.0813, 1.0855
01/25/24, 1.0884, 1.0901, 1.0822, 1.0849
01/24/24, 1.0856, 1.0934, 1.0846, 1.0886
01/23/24, 1.0882, 1.0917, 1.0822, 1.0855
01/22/24, 1.0917, 1.0917, 1.0879, 1.0884
01/19/24, 1.0877, 1.0900, 1.0865, 1.0897
01/18/24, 1.0884, 1.0909, 1.0848, 1.0877
01/17/24, 1.0876, 1.0886, 1.0845, 1.0883
01/16/24, 1.0951, 1.0956, 1.0862, 1.0878
01/15/24, 1.0967, 1.0970, 1.0934, 1.0953
01/12/24, 1.0974, 1.0989, 1.0936, 1.0951
01/11/24, 1.0973, 1.1001, 1.0931, 1.0972
01/10/24, 1.0932, 1.0977, 1.0922, 1.0975
01/09/24, 1.0950, 1.0969, 1.0912, 1.0933
01/08/24, 1.0942, 1.0980, 1.0923, 1.0952
01/05/24, 1.0945, 1.0998, 1.0877, 1.0939
01/04/24, 1.0920, 1.0975, 1.0915, 1.0946
01/03/24, 1.0937, 1.0967, 1.0895, 1.0922
01/02/24, 1.1046, 1.1056, 1.0938, 1.0940
01/01/24, 1.1058, 1.1080, 1.1037, 1.1047
12/29/23, 1.1063, 1.1086, 1.1035, 1.1038
12/28/23, 1.1107, 1.1142, 1.1056, 1.1061
12/27/23, 1.1043, 1.1124, 1.1029, 1.1106
12/26/23, 1.1018, 1.1049, 1.1009, 1.1044
12/25/23, 1.1013, 1.1135, 1.0996, 1.1017
12/22/23, 1.1012, 1.1041, 1.0996, 1.1014
12/21/23, 1.0943, 1.1015, 1.0936, 1.1011
12/20/23, 1.0981, 1.0985, 1.0930, 1.0942
12/19/23, 1.0925, 1.0989, 1.0915, 1.0980
12/18/23, 1.0897, 1.0932, 1.0892, 1.0924
12/15/23, 1.0995, 1.1006, 1.0889, 1.0895
12/14/23, 1.0877, 1.1012, 1.0872, 1.0994
12/13/23, 1.0796, 1.0899, 1.0773, 1.0875
12/12/23, 1.0764, 1.0826, 1.0759, 1.0795
12/11/23, 1.0764, 1.0780, 1.0741, 1.0767
12/08/23, 1.0794, 1.0801, 1.0725, 1.0762
12/07/23, 1.0763, 1.0818, 1.0756, 1.0796
12/06/23, 1.0796, 1.0807, 1.0758, 1.0764
12/05/23, 1.0837, 1.0849, 1.0777, 1.0799
12/04/23, 1.0895, 1.0897, 1.0803, 1.0836
12/01/23, 1.0890, 1.0916, 1.0830, 1.0883
11/30/23, 1.0971, 1.0985, 1.0879, 1.0888
11/29/23, 1.0993, 1.1018, 1.0960, 1.0970
11/28/23, 1.0956, 1.1011, 1.0935, 1.0995
11/27/23, 1.0951, 1.0961, 1.0925, 1.0954
11/24/23, 1.0906, 1.0986, 1.0895, 1.0947
11/23/23, 1.0889, 1.0929, 1.0884, 1.0908
11/22/23, 1.0911, 1.0924, 1.0853, 1.0891
11/21/23, 1.0940, 1.0967, 1.0900, 1.0913
11/20/23, 1.0919, 1.0954, 1.0897, 1.0939
11/17/23, 1.0858, 1.0917, 1.0824, 1.0917
11/16/23, 1.0853, 1.0897, 1.0830, 1.0853
