year,sex,name,n,prop
2001,F,Ashley,16524,0.00834726311913036
2001,F,Jessica,13917,0.00703031111286233
2001,F,Amanda,6963,0.00351742877623485
2001,F,Patricia,1223,0.000617810626645874
2001,F,Helen,884,0.000446561401434957
2001,F,Linda,837,0.000422818883485361
2001,F,Deborah,489,0.000247023218667075
2001,F,Dorothy,317,0.00016013570617068
2001,F,Betty,153,7.72894733252811e-05
2002,F,Ashley,15339,0.00777226488632702
2002,F,Jessica,11913,0.00603631211883524
2002,F,Amanda,6132,0.00310708183603607
2002,F,Patricia,1113,0.000563956634622985
2002,F,Helen,875,0.000443362134137567
2002,F,Linda,769,0.000389651978459187
2002,F,Deborah,474,0.000240175601807093
2002,F,Dorothy,263,0.000133261990032206
2002,F,Betty,127,6.43508468976811e-05
2003,F,Ashley,14512,0.00723815072032368
2003,F,Jessica,10445,0.00520965299571257
2003,F,Amanda,5339,0.00266293320671225
2003,F,Patricia,1011,0.000504256503462462
2003,F,Helen,783,0.000390536935916031
2003,F,Linda,739,0.000368591054459702
2003,F,Deborah,421,0.000209982183934418
2003,F,Dorothy,291,0.000145142079631628
2003,F,Betty,142,7.08253446999699e-05
2004,F,Ashley,14370,0.00712775344818093
2004,F,Jessica,9469,0.00469677782886745
2004,F,Amanda,4677,0.00231986798031609
2004,F,Patricia,997,0.000494528196787501
2004,F,Helen,860,0.000426573971150703
2004,F,Linda,727,0.000360603810496001
2004,F,Deborah,427,0.000211798936838779
2004,F,Dorothy,288,0.000142852678710933
2004,F,Betty,136,6.7458209391274e-05
2005,F,Ashley,13270,0.00654498034039816
2005,F,Jessica,8108,0.00399899778447237
2005,F,Amanda,4088,0.00201626824653713
2005,F,Helen,960,0.000473487650850206
2005,F,Patricia,877,0.000432550697703782
2005,F,Linda,745,0.000367446145711879
2005,F,Deborah,425,0.00020961692876181
2005,F,Dorothy,234,0.000115412614894738
2005,F,Betty,132,6.51045519919034e-05
2006,F,Ashley,12340,0.00590922303294464
2006,F,Jessica,6809,0.00326060774970179
2006,F,Amanda,3355,0.00160659994129086
2006,F,Helen,948,0.000453966242725406
2006,F,Patricia,775,0.000371122192101466
2006,F,Linda,698,0.000334249406563643
2006,F,Deborah,423,0.000202560886785704
2006,F,Dorothy,265,0.000126899846331469
2006,F,Betty,135,6.46470915273522e-05
2007,F,Ashley,11423,0.00540374075290008
2007,F,Jessica,5704,0.00269832244196289
2007,F,Amanda,3038,0.00143714999626284
2007,F,Helen,931,0.000440416934338613
2007,F,Patricia,725,0.000342967000424806
2007,F,Linda,659,0.000311745176937858
2007,F,Deborah,371,0.000175504492631177
2007,F,Dorothy,262,0.000123941178084551
2007,F,Betty,134,6.33897628371366e-05
2008,F,Ashley,9402,0.00452030531532519
2008,F,Jessica,4732,0.00227505687642191
2008,F,Amanda,2439,0.00117262546948289
2008,F,Helen,884,0.000425010625265632
2008,F,Patricia,629,0.000302411406439007
2008,F,Linda,611,0.000293757343933598
2008,F,Deborah,355,0.000170677343856673
2008,F,Dorothy,242,0.000116349062572718
2008,F,Betty,137,6.58670312911669e-05
2009,F,Ashley,7811,0.00386339097012116
2009,F,Jessica,3793,0.00187605197153624
2009,F,Amanda,1952,0.000965476785773462
2009,F,Helen,826,0.000408547041520942
2009,F,Patricia,564,0.000278959481135365
2009,F,Linda,550,0.000272034955007891
2009,F,Deborah,346,0.000171134717150419
2009,F,Dorothy,226,0.000111781636057788
2009,F,Betty,148,7.32021333475781e-05
2010,F,Ashley,6306,0.00322252105804575
2010,F,Jessica,3195,0.00163272356175962
2010,F,Amanda,1655,0.000845745694745594
2010,F,Helen,703,0.000359250286046014
2010,F,Patricia,479,0.000244780778116701
2010,F,Linda,476,0.00024324770434979
2010,F,Deborah,354,0.000180902704495432
2010,F,Dorothy,240,0.000122645901352835
2010,F,Betty,132,6.74552457440595e-05
2011,F,Ashley,5398,0.00279205644940212
2011,F,Jessica,2620,0.00135516633890952
2011,F,Amanda,1409,0.000728789836459354
2011,F,Helen,729,0.000377067275215663
2011,F,Linda,488,0.000252412661598414
2011,F,Patricia,427,0.000220861078898612
2011,F,Deborah,332,0.000171723368136626
2011,F,Dorothy,276,0.000142757980740086
2011,F,Betty,167,8.63789231289653e-05
2012,F,Ashley,4696,0.00242806420306393
2012,F,Jessica,2327,0.00120317406314518
2012,F,Amanda,1228,0.00063493672090343
2012,F,Helen,772,0.000399162173076098
2012,F,Linda,448,0.000231638152251414
2012,F,Patricia,394,0.000203717482113967
2012,F,Deborah,336,0.000173728614188561
2012,F,Dorothy,277,0.000143222696816165
2012,F,Betty,140,7.2386922578567e-05
2013,F,Ashley,3936,0.00204898297876106
2013,F,Jessica,1946,0.00101303884061713
2013,F,Amanda,1064,0.000553891740193539
2013,F,Helen,738,0.000384184308517699
2013,F,Linda,441,0.000229573550211796
2013,F,Patricia,419,0.000218120901448396
2013,F,Dorothy,334,0.000173872031226167
2013,F,Deborah,329,0.000171269156507213
2013,F,Betty,174,9.05800402196202e-05
2014,F,Ashley,3547,0.00182125980653672
2014,F,Jessica,1790,0.000919102073217006
2014,F,Amanda,1048,0.000538111157950515
2014,F,Helen,801,0.000411285341143476
2014,F,Linda,470,0.000241328477325136
2014,F,Dorothy,382,0.000196143570932344
2014,F,Patricia,377,0.000193576246705481
